,open,high,low,close,volume
2021-06-11 09:30:00-04:00,125.8112,125.9703,125.5328,125.5527,988917.0
2021-06-11 09:31:00-04:00,125.5527,125.5925,125.4135,125.4408,322429.0
2021-06-11 09:32:00-04:00,125.4632,125.5229,125.3936,125.5129,269057.0
2021-06-11 09:33:00-04:00,125.5229,125.7018,125.3837,125.682,337594.0
2021-06-11 09:34:00-04:00,125.682,125.7615,125.5626,125.6223,235254.0
2021-06-11 09:35:00-04:00,125.6283,125.7018,125.5129,125.6969,275304.0
2021-06-11 09:36:00-04:00,125.7018,125.851,125.6969,125.7615,285570.0
2021-06-11 09:37:00-04:00,125.7516,125.7615,125.5577,125.5875,222674.0
2021-06-11 09:38:00-04:00,125.5925,125.662,125.5179,125.6487,159294.0
2021-06-11 09:39:00-04:00,125.6521,125.7317,125.6223,125.672,223004.0
2021-06-11 09:40:00-04:00,125.682,125.7516,125.5726,125.7179,204001.0
2021-06-11 09:41:00-04:00,125.7217,125.9253,125.7217,125.9007,345640.0
2021-06-11 09:42:00-04:00,125.9057,126.0747,125.851,126.0648,339530.0
2021-06-11 09:43:00-04:00,126.0648,126.2487,126.0399,126.2139,488673.0
2021-06-11 09:44:00-04:00,126.2139,126.2686,126.1045,126.1592,459363.0
2021-06-11 09:45:00-04:00,126.1543,126.2784,126.1095,126.2686,342310.0
2021-06-11 09:46:00-04:00,126.2636,126.3285,126.1195,126.2189,392090.0
2021-06-11 09:47:00-04:00,126.209,126.3382,126.2089,126.3183,313757.0
2021-06-11 09:48:00-04:00,126.3227,126.3979,126.2984,126.3005,350078.0
2021-06-11 09:49:00-04:00,126.2984,126.3283,126.204,126.3233,281398.0
2021-06-11 09:50:00-04:00,126.3233,126.378,126.2089,126.2935,277342.0
2021-06-11 09:51:00-04:00,126.2885,126.3185,126.1592,126.2785,318634.0
2021-06-11 09:52:00-04:00,126.2786,126.2887,126.2139,126.2856,183123.0
2021-06-11 09:53:00-04:00,126.2785,126.3084,126.1543,126.2338,210499.0
