,open,high,low,close,volume
2021-05-21 09:30:00-04:00,60.79,60.8,60.72,60.75,1820.0
2021-05-21 09:31:00-04:00,60.74,60.78,60.66,60.7,1088.0
2021-05-21 09:32:00-04:00,60.7,60.71,60.67,60.69,507.0
2021-05-21 09:33:00-04:00,60.69,60.69,60.63,60.65,511.0
2021-05-21 09:34:00-04:00,60.66,60.69,60.62,60.66,915.0
2021-05-21 09:35:00-04:00,60.65,60.72,60.61,60.7,1647.0
2021-05-21 09:36:00-04:00,60.7,60.75,60.7,60.73,751.0
2021-05-21 09:37:00-04:00,60.73,60.8,60.72,60.79,768.0
2021-05-21 09:38:00-04:00,60.79,60.83,60.76,60.79,928.0
2021-05-21 09:39:00-04:00,60.78,60.84,60.73,60.82,820.0
2021-05-21 09:40:00-04:00,60.83,60.87,60.83,60.84,950.0
2021-05-21 09:41:00-04:00,60.85,60.9,60.83,60.83,932.0
2021-05-21 09:42:00-04:00,60.84,60.86,60.77,60.79,874.0
2021-05-21 09:43:00-04:00,60.79,60.81,60.76,60.78,512.0
2021-05-21 09:44:00-04:00,60.79,60.8,60.73,60.76,782.0
2021-05-21 09:45:00-04:00,60.76,60.77,60.61,60.62,1217.0
2021-05-21 09:46:00-04:00,60.62,60.72,60.58,60.71,1184.0
2021-05-21 09:47:00-04:00,60.71,60.73,60.64,60.66,506.0
2021-05-21 09:48:00-04:00,60.66,60.67,60.62,60.65,703.0
2021-05-21 09:49:00-04:00,60.66,60.71,60.62,60.67,888.0
2021-05-21 09:50:00-04:00,60.66,60.67,60.6,60.66,425.0
2021-05-21 09:51:00-04:00,60.67,60.71,60.65,60.67,726.0
2021-05-21 09:52:00-04:00,60.68,60.73,60.68,60.7,513.0
2021-05-21 09:53:00-04:00,60.69,60.73,60.69,60.72,386.0
2021-05-21 09:54:00-04:00,60.71,60.75,60.65,60.66,484.0
2021-05-21 09:55:00-04:00,60.66,60.69,60.64,60.65,374.0
2021-05-21 09:56:00-04:00,60.65,60.69,60.63,60.67,386.0
2021-05-21 09:57:00-04:00,60.68,60.7,60.66,60.67,275.0
2021-05-21 09:58:00-04:00,60.67,60.81,60.67,60.77,725.0
2021-05-21 09:59:00-04:00,60.76,60.83,60.76,60.79,533.0
2021-05-21 10:00:00-04:00,60.78,60.97,60.78,60.96,1686.0
2021-05-21 10:01:00-04:00,60.96,60.98,60.83,60.92,2125.0
2021-05-21 10:02:00-04:00,60.92,60.92,60.81,60.82,874.0
2021-05-21 10:03:00-04:00,60.81,60.85,60.74,60.82,1180.0
2021-05-21 10:04:00-04:00,60.82,60.83,60.75,60.83,535.0
2021-05-21 10:05:00-04:00,60.83,60.84,60.77,60.77,765.0
2021-05-21 10:06:00-04:00,60.78,60.81,60.7,60.79,1014.0
2021-05-21 10:07:00-04:00,60.78,60.79,60.75,60.79,439.0
2021-05-21 10:08:00-04:00,60.79,60.83,60.75,60.81,593.0
2021-05-21 10:09:00-04:00,60.82,60.85,60.79,60.83,392.0
2021-05-21 10:10:00-04:00,60.83,60.85,60.79,60.8,778.0
2021-05-21 10:11:00-04:00,60.79,60.85,60.78,60.84,331.0
2021-05-21 10:12:00-04:00,60.84,60.86,60.81,60.82,286.0
2021-05-21 10:13:00-04:00,60.81,60.82,60.79,60.81,342.0
2021-05-21 10:14:00-04:00,60.81,60.84,60.79,60.79,585.0
2021-05-21 10:15:00-04:00,60.79,60.79,60.67,60.69,1283.0
2021-05-21 10:16:00-04:00,60.69,60.75,60.67,60.75,631.0
2021-05-21 10:17:00-04:00,60.74,60.8,60.72,60.8,433.0
2021-05-21 10:18:00-04:00,60.8,60.81,60.76,60.76,373.0
2021-05-21 10:19:00-04:00,60.76,60.77,60.67,60.69,849.0
2021-05-21 10:20:00-04:00,60.68,60.78,60.68,60.71,573.0
2021-05-21 10:21:00-04:00,60.71,60.73,60.65,60.68,864.0
2021-05-21 10:22:00-04:00,60.69,60.7,60.67,60.69,406.0
2021-05-21 10:23:00-04:00,60.68,60.68,60.65,60.67,416.0
2021-05-21 10:24:00-04:00,60.68,60.77,60.66,60.75,642.0
2021-05-21 10:25:00-04:00,60.75,60.76,60.65,60.68,725.0
2021-05-21 10:26:00-04:00,60.69,60.8,60.69,60.77,646.0
2021-05-21 10:27:00-04:00,60.77,60.79,60.75,60.76,362.0
2021-05-21 10:28:00-04:00,60.77,60.8,60.75,60.8,446.0
2021-05-21 10:29:00-04:00,60.79,60.85,60.78,60.84,851.0
2021-05-21 10:30:00-04:00,60.85,60.92,60.83,60.85,868.0
2021-05-21 10:31:00-04:00,60.86,60.91,60.86,60.9,563.0
2021-05-21 10:32:00-04:00,60.91,60.94,60.9,60.94,754.0
2021-05-21 10:33:00-04:00,60.93,60.95,60.91,60.94,471.0
2021-05-21 10:34:00-04:00,60.94,61.02,60.93,61.0,1113.0
2021-05-21 10:35:00-04:00,61.0,61.0,60.9,60.92,1016.0
2021-05-21 10:36:00-04:00,60.91,60.91,60.84,60.85,713.0
2021-05-21 10:37:00-04:00,60.85,60.85,60.8,60.8,864.0
2021-05-21 10:38:00-04:00,60.79,60.79,60.71,60.72,953.0
2021-05-21 10:39:00-04:00,60.73,60.83,60.72,60.79,693.0
2021-05-21 10:40:00-04:00,60.78,60.8,60.75,60.78,627.0
2021-05-21 10:41:00-04:00,60.78,60.78,60.7,60.74,510.0
2021-05-21 10:42:00-04:00,60.75,60.77,60.71,60.71,456.0
2021-05-21 10:43:00-04:00,60.71,60.74,60.68,60.73,600.0
2021-05-21 10:44:00-04:00,60.73,60.74,60.69,60.69,506.0
2021-05-21 10:45:00-04:00,60.7,60.72,60.68,60.69,531.0
2021-05-21 10:46:00-04:00,60.7,60.73,60.7,60.73,265.0
2021-05-21 10:47:00-04:00,60.73,60.74,60.68,60.73,440.0
2021-05-21 10:48:00-04:00,60.73,60.74,60.7,60.74,404.0
2021-05-21 10:49:00-04:00,60.73,60.86,60.73,60.83,694.0
2021-05-21 10:50:00-04:00,60.84,60.88,60.83,60.87,585.0
2021-05-21 10:51:00-04:00,60.87,60.92,60.84,60.9,690.0
2021-05-21 10:52:00-04:00,60.91,60.92,60.78,60.8,801.0
2021-05-21 10:53:00-04:00,60.81,60.85,60.79,60.82,1151.0
2021-05-21 10:54:00-04:00,60.81,60.83,60.78,60.81,508.0
2021-05-21 10:55:00-04:00,60.82,60.91,60.82,60.87,483.0
2021-05-21 10:56:00-04:00,60.88,60.89,60.84,60.84,463.0
2021-05-21 10:57:00-04:00,60.83,60.83,60.78,60.8,533.0
2021-05-21 10:58:00-04:00,60.81,60.83,60.79,60.83,595.0
2021-05-21 10:59:00-04:00,60.83,60.89,60.83,60.88,485.0
2021-05-21 11:00:00-04:00,60.88,60.95,60.86,60.94,906.0
